MP:0000001	mammalian phenotype	哺乳類の表現型
MP:0001554	increased circulating free fatty acids level	遊離脂肪酸血中濃度上昇
MP:0001556	increased circulating HDL cholesterol level	HDLコレステロール血中濃度上昇
MP:0001559	hyperglycemia	高血糖
MP:0001560	abnormal circulating insulin level	インスリン血中濃度異常
MP:0001562	abnormal circulating calcium level	カルシウムの血中濃度異常
MP:0001565	abnormal circulating phosphate level	リン血中濃度異常
MP:0001566	increased circulating phosphate level	リン血中濃度上昇
MP:0001569	abnormal circulating bilirubin level	ビリルビンの血中濃度異常
MP:0001570	abnormal circulating enzyme level	酵素の血中濃度異常
MP:0001573	abnormal circulating alanine transaminase level	アラニンアミノ基転移酵素血中濃度異常
MP:0001574	abnormal oxygen level	酸素値異常
MP:0001575	cyanosis	チアノーゼ
MP:0001577	anemia	貧血
MP:0001584	obsolete platelet storage pool deficiency	OBSOLETE
MP:0001585	hemolytic anemia	溶血性貧血
MP:0001586	abnormal erythrocyte cell number	赤血球数異常
MP:0001588	abnormal hemoglobin	ヘモグロビン異常
MP:0001589	abnormal mean corpuscular hemoglobin	平均赤血球血色素量異常
MP:0001596	hypotension	低血圧
MP:0001598	abnormal blood viscosity	血液粘性異常
MP:0001599	abnormal blood volume	送血量異常
MP:0001601	abnormal myelopoiesis	骨髄造血異常（骨髄異常増殖症）
MP:0001602	impaired myelopoiesis	骨髄造血障害
MP:0001603	failure of myelopoiesis	骨髄造血不全
MP:0001606	impaired hematopoiesis	造血障害
MP:0001613	abnormal vasodilation	血管拡張異常
MP:0001614	abnormal blood vessel morphology	脈管構造異常
MP:0001615	obsolete Decreased Vasculature	OBSOLETE
MP:0001616	obsolete Increased Vasculature	OBSOLETE
MP:0001619	abnormal vascular permeability	血管透過性異常
MP:0001622	abnormal vasculogenesis	血管形成異常
MP:0001625	cardiac hypertrophy	心肥大
MP:0001627	abnormal cardiac output	心拍出量異常
MP:0001629	abnormal heart rate	心拍数異常
MP:0001633	poor circulation	血行不良
MP:0001634	internal hemorrhage	内出血
MP:0001636	irregular heartbeat	不整脈
MP:0001637	obsolete cardiac arrest	OBSOLETE
MP:0001641	obsolete death	OBSOLETE
MP:0001648	abnormal apoptosis	アポトーシス異常
MP:0001649	abnormal mandibular symphysis morphology	心停止
MP:0001650	abnormal seizure response to electrical stimulation	電気誘導性発作
MP:0001651	obsolete necrosis	OBSOLETE
MP:0001652	colonic necrosis	結腸壊死
MP:0001653	gastric necrosis	胃壊死
MP:0001654	hepatic necrosis	肝壊死
MP:0001655	multifocal hepatic necrosis	多巣性肝壊死
MP:0001656	focal hepatic necrosis	限局性肝壊死
MP:0001657	abnormal induced morbidity/mortality	外因性罹病率／死亡率異常
MP:0001658	increased mortality induced by gamma-irradiation	ガンマ線照射由来死亡率増加
MP:0001659	obsolete altered life span	OBSOLETE
MP:0001661	extended life span	長寿
MP:0001663	abnormal digestive system physiology	消化器系生理異常
MP:0001664	abnormal digestion	消化異常
MP:0001665	chronic diarrhea	慢性の下痢
MP:0001666	abnormal intestinal absorption	栄養吸収異常
MP:0001667	obsolete abnormal carbohydrate absorption	OBSOLETE
MP:0001668	abnormal intestinal fructose absorption	果糖吸収異常
MP:0001669	abnormal intestinal glucose absorption	グルコースの腸管吸収異常
MP:0001670	abnormal intestinal mineral absorption	ミネラル吸収異常
MP:0001671	abnormal vitamin absorption	ビタミン吸収異常
MP:0001672	abnormal embryo development	胚発生／発達異常
MP:0001674	abnormal germ layer development	三胚葉発達異常
MP:0001675	abnormal ectoderm development	外胚葉発達異常
MP:0001676	abnormal apical ectodermal ridge morphology	外胚葉性頂提異常
MP:0001677	absent apical ectodermal ridge	外胚葉性頂提欠如
MP:0001678	thick apical ectodermal ridge	外胚葉性頂提肥厚
MP:0001679	thin apical ectodermal ridge	外胚葉性頂提菲薄
MP:0001680	abnormal mesoderm development	中胚葉発達異常
MP:0001683	absent mesoderm	中胚葉欠如
MP:0001684	abnormal axial mesoderm morphology	中軸中胚葉形態異常
MP:0001685	abnormal endoderm development	内胚葉発達異常
MP:0001687	thin endoderm	薄い内胚葉
MP:0001688	abnormal somite development	体節発達異常
MP:0001689	incomplete somite formation	体節形成不全
MP:0001690	failure of somite differentiation	体節分化不全
MP:0001691	abnormal somite shape	体節形態異常
MP:0001693	failure of primitive streak formation	原条形成不全
MP:0001694	absent egg cylinders	卵筒欠如
MP:0001695	abnormal gastrulation	原腸形成異常
MP:0001696	failure to gastrulate	原腸形成不全
MP:0001697	abnormal embryo size	胚サイズの異常
MP:0001698	decreased embryo size	胚サイズの減少
MP:0001699	increased embryo size	胚サイズの増大
MP:0001700	abnormal embryo turning	胚葉回転の異常
MP:0001701	incomplete embryo turning	胚葉回転の不全
MP:0001704	abnormal dorsal-ventral axis patterning	背腹軸形成異常
MP:0001705	abnormal proximal-distal axis patterning	先端基部軸形成異常
MP:0001706	abnormal left-right axis patterning	左右軸形成異常
MP:0001710	absent amniotic folds	羊膜褶欠如
MP:0001711	abnormal placenta morphology	胎盤形態異常
MP:0001712	abnormal placenta development	胎盤発達異常
MP:0001713	decreased trophoblast giant cell number	栄養膜巨細胞数減少
MP:0001714	absent trophoblast giant cells	栄養膜巨細胞欠如
MP:0001715	placental labyrinth hypoplasia	胎盤迷路部形成不全
MP:0001716	abnormal placenta labyrinth morphology	胎盤迷路部形態不全
MP:0001717	absent ectoplacental cone	胎盤外円錐欠如
MP:0001718	abnormal visceral yolk sac morphology	臓側卵黄嚢形態異常
MP:0001719	absent vitelline blood vessels	卵黄嚢脈管構造欠如
MP:0001720	obsolete excessive surface folding	OBSOLETE
MP:0001721	absent visceral yolk sac blood islands	臓側卵黄嚢の血島の欠如
MP:0001722	pale yolk sac	淡色卵黄嚢(血行不良)
MP:0001723	disorganized yolk sac vascular plexus	卵黄嚢脈管組織異常
MP:0001724	abnormal extraembryonic endoderm formation	内胚葉由来胚外組織形成異常
MP:0001725	abnormal umbilical cord morphology	臍帯形態異常
MP:0001726	abnormal allantois morphology	尿膜形態異常
MP:0001727	abnormal embryo implantation	胚着床異常
MP:0001728	failure of embryo implantation	着床不全
MP:0001729	impaired embryo implantation	着床障害
MP:0001730	embryonic growth arrest	胚発達停止
MP:0001731	abnormal postnatal growth	出生後成長異常
MP:0001732	postnatal growth retardation	出生後成長遅延
MP:0001734	obsolete abnormal endocrine organ	OBSOLETE
MP:0001739	abnormal adrenal gland secretion	副腎分泌異常
MP:0001740	failure of adrenal epinephrine secretion	副腎エピネフリン分泌不全
MP:0001741	obsolete decreased adrenaline synthesis	OBSOLETE
MP:0001742	absent circulating adrenaline	血中アドレナリン欠如
MP:0001743	absent circulating noradrenaline	血中ノルアドレナリン欠如
MP:0001744	hypersecretion of corticosterone	コルチコステロン分泌過多
MP:0001745	increased circulating corticosterone level	コルチコステロン血中濃度上昇
MP:0001746	abnormal pituitary secretion	下垂体分泌異常
MP:0001747	hypersecretion of adrenocorticotropin	副腎皮質刺激ホルモン分泌過多
MP:0001748	increased circulating adrenocorticotropin level	副腎皮質刺激ホルモン血中濃度上昇
MP:0001749	suppressed circulating follicle stimulating hormone level	血中卵胞刺激ホルモン値抑制
MP:0001750	increased circulating follicle stimulating hormone level	卵胞刺激ホルモン血中濃度上昇
MP:0001751	increased circulating luteinizing hormone level	黄体形成ホルモン血中濃度上昇
MP:0001752	abnormal hypothalamus secretion	視床下部分泌異常
MP:0001753	hypersecretion of corticotropin-releasing hormone	副腎皮質刺激ホルモン放出ホルモン分泌過多
MP:0001754	increased circulating corticotropin-releasing hormone level	副腎皮質刺激ホルモン放出ホルモン血中濃度上昇
MP:0001755	obsolete abnormal excretion physiology	OBSOLETE
MP:0001756	abnormal urination	排尿異常
MP:0001758	abnormal urine glucose level	尿中グルコース濃度異常
MP:0001759	increased urine glucose level	尿中グルコース濃度上昇
MP:0001760	abnormal urine enzyme level	尿中酵素濃度異常
MP:0001761	abnormal urination pattern	排尿頻度異常
MP:0001762	polyuria	多尿
MP:0001763	obsolete Infrequent Urination	OBSOLETE
MP:0001764	abnormal homeostasis	恒常性異常
MP:0001765	abnormal ion homeostasis	イオン濃度の恒常性維持異常
MP:0001766	obsolete abnormal aluminum level	OBSOLETE
MP:0001770	abnormal iron level	鉄値異常
MP:0001771	abnormal circulating magnesium level	マグネシウム血中濃度異常
MP:0001775	abnormal selenium level	セレン値異常
MP:0001776	abnormal circulating sodium level	ナトリウム血中濃度異常
MP:0001777	abnormal body temperature homeostasis	体温調節異常
MP:0001778	abnormal brown adipose tissue amount	褐色脂肪組織量異常
MP:0001780	decreased brown adipose tissue amount	褐色脂肪組織量減少
MP:0001781	abnormal white adipose tissue amount	白色脂肪組織量異常
MP:0001783	decreased white adipose tissue amount	白色脂肪組織量減少
MP:0001784	abnormal fluid regulation	体内水分量調節異常
MP:0001785	edema	浮腫
MP:0001786	skin edema	皮膚浮腫
MP:0001787	pericardial edema	心嚢浮腫
MP:0001788	periorbital edema	眼窩周囲浮腫
MP:0001790	abnormal immune system physiology	免疫系生理異常
MP:0001791	obsolete immunodeficiency	OBSOLETE
MP:0001792	impaired wound healing	創傷治癒障害
MP:0001793	abnormal susceptibility to infection	感染に対する感受性異常
MP:0001794	obsolete Bacterial	OBSOLETE
MP:0001795	obsolete Gram Negative	OBSOLETE
MP:0001796	obsolete Gram Positive	OBSOLETE
MP:0001797	obsolete Opportunistic Infections of the Intestinal Tract	OBSOLETE
MP:0001798	impaired macrophage phagocytosis	マクロファージ貪食障害
MP:0001799	obsolete Viral	OBSOLETE
MP:0001800	abnormal humoral immune response	液性免疫応答異常
MP:0001802	arrested B cell differentiation	B細胞分化抑制
MP:0001804	obsolete abnormal complement protein physiology	OBSOLETE
MP:0001805	decreased IgG level	IgG値低下
MP:0001806	decreased IgM level	IgM値低下
MP:0001807	decreased IgA level	IgA値低下
MP:0001808	obsolete B cell Immunodeficiency	OBSOLETE
MP:0001809	obsolete Abnormal Immunoglobulin Production	OBSOLETE
MP:0001817	obsolete abnormal antibody production	OBSOLETE
MP:0001818	obsolete abnormal antibody titer	OBSOLETE
MP:0001819	abnormal immune cell physiology	免疫細胞生理異常
MP:0001820	obsolete abnormal activated B cell number	寛骨臼窩の形態異常
MP:0001823	thymus hypoplasia	胸腺形成不全
MP:0001824	abnormal thymus involution	胸腺退縮異常
MP:0001825	arrested T cell differentiation	T細胞分化抑制
MP:0001828	abnormal T cell activation	T細胞活性化異常
MP:0001829	increased activated T cell number	活性化T細胞数増加
MP:0001830	decreased activated T cell number	活性化T細胞数減少
MP:0001831	obsolete T cell immunodeficiency	OBSOLETE
MP:0001832	obsolete CD4-Positive cell immunodeficiency	OBSOLETE
MP:0001833	obsolete CD8- Positive cell immunodeficiency	OBSOLETE
MP:0001834	obsolete macrophage immunodeficiency/impairment	OBSOLETE
MP:0001835	abnormal antigen presentation	抗原提示異常
MP:0001836	abnormal antigen presentation via MHC class I	MHCクラスⅠ分子結合抗原提示異常
MP:0001837	defective assembly of class I molecules	クラスＩ分子構築欠損
MP:0001838	defective intracellular transport of class I molecules	クラスⅠ分子細胞内輸送欠損
MP:0001839	abnormal level of surface class I molecules	クラスⅠ分子細胞表面発現異常
MP:0001840	increased level of surface class I molecules	クラスⅠ分子細胞表面発現増加
MP:0001841	decreased level of surface class I molecules	クラスⅠ分子細胞表面発現減少
MP:0001842	obsolete inability to present cytosolic antigens to Class-I restricted cytotoxic T cells	OBSOLETE
MP:0001844	autoimmune response	自己免疫応答
MP:0001845	abnormal inflammatory response	炎症反応異常
MP:0001846	increased inflammatory response	炎症反応増加
MP:0001847	brain inflammation	脳の炎症
MP:0001848	choroid inflammation	脈絡膜の炎症
MP:0001849	ear inflammation	耳の炎症
MP:0001850	increased susceptibility to otitis media	中耳炎に対する感受性上昇
MP:0001851	eye inflammation	眼の炎症
MP:0001852	conjunctivitis	結膜炎
MP:0001853	heart inflammation	心臓の炎症
MP:0001854	atrial endocarditis	心房心内膜炎
MP:0001855	abnormal atrial thrombosis	心房血栓症
MP:0001856	myocarditis	心筋炎
MP:0001857	pericarditis	心外膜炎
MP:0001858	intestinal inflammation	腸の炎症
MP:0001859	kidney inflammation	腎の炎症
MP:0001860	liver inflammation	肝の炎症
MP:0001861	lung inflammation	肺の炎症
MP:0001862	interstitial pneumonia	間質性肺炎
MP:0001863	blood vessel inflammation	血管の炎症
MP:0001864	vascular inflammation	血管炎
MP:0001866	nasal inflammation	鼻の炎症
MP:0001867	rhinitis	鼻炎
MP:0001868	ovary inflammation	卵巣の炎症
MP:0001869	pancreas inflammation	膵の炎症
MP:0001870	salivary gland inflammation	唾液腺の炎症
MP:0001872	sinus inflammation	副鼻腔炎症
MP:0001873	stomach inflammation	胃の炎症
MP:0001874	acanthosis	表皮肥厚
MP:0001875	testis inflammation	精巣の炎症
MP:0001876	decreased inflammatory response	炎症反応減少
MP:0001877	obsolete dysregulated inflammatory response	OBSOLETE
MP:0001879	abnormal lymphatic vessel morphology	リンパ管形態異常
MP:0001881	abnormal mammary gland physiology	乳腺生理異常
MP:0001882	abnormal lactation	乳汁分泌異常
MP:0001883	increased mammary adenocarcinoma incidence	乳腺ガン
MP:0001884	mammary gland alveolar hyperplasia	乳腺腺房過形成
MP:0001885	mammary gland duct hyperplasia	乳管過形成
MP:0001886	obsolete nervous system physiology abnormalities	OBSOLETE
MP:0001889	delayed brain development	脳発達遅延
MP:0001890	anencephaly	無脳症
MP:0001891	hydrocephaly	水頭症
MP:0001893	non-obstructive hydrocephaly	非閉塞性水頭症
MP:0001895	obsolete abnormal hippocampus function	OBSOLETE
MP:0001898	abnormal long-term depression	長期抑制異常
MP:0001899	absent long-term depression	長期抑制欠如
MP:0001900	impaired synaptic plasticity	シナプス可塑性障害
MP:0001901	absence of NMDA-mediated synaptic currents	NMDA 受容体介在シナプス電流欠如
MP:0001902	reduced NMDA-mediated synaptic currents	NMDA 受容体介在シナプス電流減少
MP:0001903	obsolete reduced NMDA receptor glycine affinity: hippocampus	OBSOLETE
MP:0001904	obsolete impaired GABA receptor mediated fast inhibition	OBSOLETE
MP:0001905	abnormal dopamine level	ドーパミン値異常
MP:0001906	increased dopamine level	ドーパミン値上昇
MP:0001907	obsolete abnormal cerebellar function	OBSOLETE
MP:0001908	abnormal somatosensory cortex physiology	一次体性感覚野機能異常
MP:0001909	reduced NMDA receptor mediated synaptic activity in barrel cortex	バレル皮質におけるNMDA受容介在シナプス活性減少
MP:0001911	abnormal cerebrospinal fluid production	脳脊髄液生成異常
MP:0001912	increased cerebrospinal fluid production	脳脊髄液生成量増加
MP:0001913	decreased cerebrospinal fluid production	脳脊髄液生成量減少
MP:0001914	hemorrhage	出血
MP:0001915	intracranial hemorrhage	頭蓋内出血
MP:0001916	intracerebral hemorrhage	脳出血
MP:0001917	intraventricular hemorrhage	脳室内出血
MP:0001919	abnormal reproductive system physiology	生殖系生理異常
MP:0001921	reduced fertility	生殖能力減少
MP:0001922	reduced male fertility	雄生殖能力減少
MP:0001923	reduced female fertility	雌の生殖能力減少
MP:0001924	infertility	不妊症
MP:0001925	male infertility	オス不妊
MP:0001926	female infertility	雌不妊
MP:0001927	abnormal estrous cycle	性周期異常
MP:0001928	abnormal ovulation	排卵異常
MP:0001929	abnormal gametogenesis	配偶子形成異常
MP:0001930	abnormal meiosis	減数分裂異常
MP:0001931	abnormal oogenesis	卵形性異常
MP:0001932	abnormal spermiogenesis	精子形成異常
MP:0001933	abnormal litter size	同腹仔数異常
MP:0001934	increased litter size	同腹仔数増加
MP:0001935	decreased litter size	同腹仔数減少
MP:0001937	abnormal sexual maturation	性成熟異常
MP:0001938	delayed sexual maturation	性成熟遅延
MP:0001939	secondary sex reversal	二次的性転換
MP:0001940	testis hypoplasia	精巣発育不全
MP:0001942	abnormal lung volume	肺気量異常
MP:0001943	abnormal respiration	呼吸異常
MP:0001944	abnormal pancreas morphology	膵臓形態異常
MP:0001945	bronchoconstriction	気管支収縮
MP:0001947	abnormal mucociliary clearance	気道粘液線毛クリアランス異常
MP:0001948	vesicoureteral reflux	膀胱尿管逆流
MP:0001949	obsolete abnormal respiratory dead space	OBSOLETE
MP:0001950	abnormal respiratory sounds	呼吸音異常
MP:0001951	abnormal breathing pattern	呼吸パターン異常
MP:0001952	increased airway responsiveness	気道反応性増加
MP:0001953	respiratory failure	呼吸不全
MP:0001954	respiratory distress	呼吸困難
MP:0001956	hypopnea	低呼吸
MP:0001957	apnea	無呼吸
MP:0001958	emphysema	肺気腫
MP:0001959	obsolete sensory system physiology/response abnormalities	OBSOLETE
MP:0001961	abnormal reflex	反射異常
MP:0001963	abnormal hearing physiology	聴覚生理異常
MP:0001964	obsolete abnormal auditory threshold	OBSOLETE
MP:0001965	obsolete increased auditory threshold	OBSOLETE
MP:0001966	obsolete decreased auditory threshold	OBSOLETE
MP:0001967	deafness	難聴
MP:0001968	abnormal touch/ nociception	触覚／痛覚異常
MP:0001970	abnormal pain threshold	疼痛閾値異常
MP:0001973	increased thermal nociceptive threshold	温熱性侵害受容閾値上昇
MP:0001974	obsolete toe pinch	OBSOLETE
MP:0001975	obsolete tail pinch	OBSOLETE
MP:0001977	obsolete tail flick	OBSOLETE
MP:0001978	obsolete prolonged latency in tail flick test	OBSOLETE
MP:0001980	abnormal chemically-elicited antinociception	化学物質誘発抗侵害受容（鎮痛）異常
MP:0001981	increased chemically-elicited antinociception	化学物質誘発抗侵害受容（鎮痛）上昇
MP:0001982	decreased chemically-elicited antinociception	化学物質誘発抗侵害受容（鎮痛）低下
MP:0001983	abnormal olfactory system physiology	嗅覚系生理異常
MP:0001984	abnormal olfaction	嗅覚異常
MP:0001985	abnormal gustatory system physiology	味覚系生理異常
MP:0001986	abnormal taste sensitivity	味覚感受性
MP:0001987	alcohol preference	アルコール嗜好
MP:0001988	cocaine preference	コカイン嗜好
MP:0001989	obsolete saccharin versus water	OBSOLETE
MP:0001990	obsolete water versus saccharin	OBSOLETE
MP:0001993	abnormal blinking	瞬き異常
MP:0001994	increased blinking frequency	瞬き頻度増加
MP:0001995	decreased blinking frequency	瞬き頻度減少
MP:0001997	obsolete Increased Pupil Constriction	OBSOLETE
MP:0001998	obsolete Decreased Pupil Constriction	OBSOLETE
MP:0001999	photosensitivity	感光性
MP:0002001	blindness	失明
MP:0002002	obsolete abnormal response to visual cliff	OBSOLETE
MP:0002003	miotic pupil	縮瞳
MP:0002006	neoplasm	腫瘍形成
MP:0002007	increased cellular sensitivity to gamma-irradiation	対ガンマ線照射細胞感受性上昇
MP:0002009	preneoplasia	前新生物
MP:0002010	obsolete hepatic microgranulomas	OBSOLETE
MP:0002012	increased trichofolliculoma incidence	毛包腫発生率上昇
MP:0002013	increased pilomatricoma incidence	毛母腫（石灰化上皮腫）
MP:0002014	increased papilloma incidence	パピローマ発生率上昇
MP:0002015	epithelioid cyst	類上皮細胞嚢胞
MP:0002016	ovary cyst	卵巣嚢胞
MP:0002018	increased malignant tumor incidence	悪性腫瘍
MP:0002019	abnormal tumor incidence	腫瘍出現率異常
MP:0002020	increased tumor incidence	腫瘍出現率上昇
MP:0002021	increased incidence of induced tumors	腫瘍誘発頻度上昇
MP:0002023	increased B cell derived lymphoma incidence	B細胞由来リンパ腫
MP:0002024	increased T cell derived lymphoma incidence	T細胞由来リンパ腫
MP:0002025	obsolete B cell/T cell derived lymphoma	OBSOLETE
MP:0002026	increased leukemia incidence	白血病
MP:0002027	increased lung adenocarcinoma incidence	肺腺ガン
MP:0002030	increased neurofibrosarcoma incidence	神経線維肉腫
MP:0002031	increased adrenal gland tumor incidence	副腎腫瘍
MP:0002032	increased sarcoma incidence	肉腫発生率上昇
MP:0002033	increased malignant triton tumor incidence	悪性トリトン腫瘍
MP:0002035	increased leiomyosarcoma incidence	平滑筋肉腫
MP:0002036	increased rhabdomyosarcoma incidence	横紋筋肉腫発生率上昇
MP:0002037	increased fibrohistocytoma incidence	皮膚線維腫
MP:0002038	increased carcinoma incidence	ガン 発生率上昇
MP:0002039	increased neuroblastoma incidence	神経芽腫
MP:0002041	increased pituitary adenoma incidence	下垂体腺腫発生率上昇
MP:0002042	obsolete hemotologic neoplasia	OBSOLETE
MP:0002043	increased colon hamartoma incidence	結腸過誤腫
MP:0002044	increased colon adenoma incidence	結腸腺腫
MP:0002045	increased renal cystadenoma incidence	腎嚢腺腫発生率上昇
MP:0002047	increased hepatic hemangioma incidence	肝血管腫
MP:0002048	increased lung adenoma incidence	肺腺腫
MP:0002049	increased extremity angiosarcoma incidence	末端血管肉腫の発生率上昇
MP:0002050	increased pheochromocytoma incidence	褐色細胞腫発生率増加
MP:0002051	increased skin papilloma incidence	皮膚パピローマ発生率の上昇
MP:0002052	decreased tumor incidence	腫瘍発生率減少
MP:0002053	decreased incidence of induced tumors	腫瘍誘発頻度減少
MP:0002054	obsolete disease states	OBSOLETE
MP:0002055	obsolete Diabetes	OBSOLETE
MP:0002056	obsolete Insulin dependent diabetes	OBSOLETE
MP:0002057	obsolete Non-insulin dependent diabetes	OBSOLETE
MP:0002058	neonatal lethality	新生児死亡率
MP:0002059	abnormal seminal vesicle morphology	精嚢腺形態異常
MP:0002060	abnormal skin morphology	皮膚形態異常
MP:0002061	abnormal aggression-related behavior	攻撃関連行動異常
MP:0002062	abnormal associative learning	条件付け行動異常
MP:0002063	abnormal learning/memory/conditioning	学習／記憶／条件付け　異常
MP:0002064	seizures	発作
MP:0002065	abnormal fear/anxiety-related behavior	恐怖／不安関連行動異常
MP:0002066	abnormal motor capabilities/coordination/movement	運動能力／協同／動作異常
MP:0002067	abnormal sensory capabilities/reflexes/nociception	感覚能力／反射／痛覚異常
MP:0002068	abnormal parental behavior	親の行動異常
MP:0002069	abnormal consumption behavior	摂食／飲水行動異常
MP:0002070	obsolete abnormal sleep pattern/circadian rhythm	OBSOLETE
MP:0002071	obsolete other abnormal behavior	OBSOLETE
MP:0002072	obsolete neurological/behavioral: no defect detected	OBSOLETE
MP:0002073	abnormal hair growth	発毛異常
MP:0002074	abnormal hair texture	毛質異常
MP:0002075	abnormal coat/hair pigmentation	外皮／毛の色素沈着異常
MP:0002076	obsolete abnormal hair follicle structure/orientation	OBSOLETE
MP:0002078	abnormal glucose homeostasis	グルコース恒常性異常
MP:0002079	increased circulating insulin level	インスリン血中濃度上昇
MP:0002080	prenatal lethality	出生前死亡率
MP:0002081	perinatal lethality	出生時死亡率
MP:0002082	postnatal lethality	出生後死亡率
MP:0002083	premature death	成熟前死
MP:0002084	abnormal developmental patterning	発育パターン異常
MP:0002085	abnormal embryonic tissue morphology	胚組織形態異常
MP:0002086	abnormal extraembryonic tissue morphology	胚外組織形態異常
MP:0002087	obsolete embryogenesis: no defect detected	OBSOLETE
MP:0002088	abnormal embryonic growth/weight/body size	胚成長／体重／体長異常
MP:0002089	abnormal postnatal growth/weight/body size	出生後成長／体重／体長異常
MP:0002090	abnormal vision	視覚異常
MP:0002091	obsolete eye: no defect detected	OBSOLETE
MP:0002092	abnormal eye morphology	眼形態異常
MP:0002093	obsolete abnormal cornea/lens morphology	OBSOLETE
MP:0002094	obsolete coat: no defect detected	OBSOLETE
MP:0002095	abnormal skin pigmentation	皮膚色素沈着異常
MP:0002096	obsolete abnormal skin condition/ morphology	OBSOLETE
MP:0002097	obsolete skin: no defect detected	OBSOLETE
MP:0002098	abnormal vibrissa morphology	感覚毛の形態異常
MP:0002099	obsolete vibrissae: no defect detected	OBSOLETE
MP:0002100	abnormal tooth morphology	歯形態異常
MP:0002101	obsolete teeth: no defect detected	OBSOLETE
MP:0002102	abnormal ear morphology	耳形態異常
MP:0002103	obsolete ears: no defect detected	OBSOLETE
MP:0002106	abnormal muscle physiology	筋肉生理異常
MP:0002107	obsolete musculature: no defect detected	OBSOLETE
MP:0002108	abnormal muscle morphology	筋肉形態異常
MP:0002109	abnormal limb morphology	四肢形態異常
MP:0002110	abnormal digit morphology	指形態異常
MP:0002111	abnormal tail morphology	尾部形態異常
MP:0002112	obsolete extremities: no defect detected	OBSOLETE
MP:0002113	abnormal skeleton development	骨格発達異常
MP:0002114	abnormal axial skeleton morphology	軸骨格形態異常
MP:0002115	abnormal limb bone morphology	四肢骨格形態異常
MP:0002116	abnormal craniofacial bone morphology	頭蓋顔面骨形態異常
MP:0002117	obsolete skeletal: no defect detected	OBSOLETE
MP:0002118	abnormal lipid homeostasis	脂質恒常性異常
MP:0002119	dipsosis	高度口渇
MP:0002121	obsolete other metabolic defect	OBSOLETE
MP:0002122	obsolete metabolism: no defect detected	OBSOLETE
MP:0002123	abnormal definitive hematopoiesis	造血異常
MP:0002126	obsolete hematology: no defect detected	OBSOLETE
MP:0002127	abnormal cardiovascular system morphology	心臓血管系形態異常
MP:0002128	abnormal blood circulation	血液循環異常
MP:0002131	obsolete heart/cardiovascular system: no defect detected	OBSOLETE
MP:0002132	abnormal respiratory system morphology	呼吸器系形態異常
MP:0002133	abnormal respiratory system physiology	呼吸器系生理異常
MP:0002134	obsolete respiratory system: no defect detected	OBSOLETE
MP:0002135	abnormal kidney morphology	腎臓形態異常
MP:0002136	abnormal kidney physiology	腎生理異常
MP:0002137	obsolete kidney/renal system: no defect detected	OBSOLETE
MP:0002138	abnormal hepatobiliary system morphology	肝臓／胆汁系形態異常
MP:0002139	abnormal hepatobiliary system physiology	肝臓／胆汁系生理異常
MP:0002140	obsolete liver/hepatic system: no defect detected	OBSOLETE
MP:0002143	obsolete digestive system: no defect detected	OBSOLETE
MP:0002144	abnormal B cell differentiation	B細胞分化異常
MP:0002145	abnormal T cell differentiation	T細胞分化異常
MP:0002146	obsolete immune system: other dysmorphology	OBSOLETE
MP:0002147	obsolete immune system: immunodeficiency	OBSOLETE
MP:0002148	abnormal hypersensitivity reaction	過敏症
MP:0002149	obsolete immune system: other functional anomaly	OBSOLETE
MP:0002150	obsolete immune system: no defect detected	OBSOLETE
MP:0002151	abnormal neural tube morphology	神経管形態／発達異常
MP:0002152	abnormal brain morphology	脳形態異常
MP:0002156	obsolete central nervous system: no defect detected	OBSOLETE
MP:0002159	obsolete peripheral nervous system: no defect detected	OBSOLETE
MP:0002160	abnormal reproductive system morphology	生殖系形態異常
MP:0002161	abnormal fertility/fecundity	受精率／繁殖力異常
MP:0002162	obsolete reproductive system: no defect detected	OBSOLETE
MP:0002163	abnormal gland morphology	腺形態異常
MP:0002164	abnormal gland physiology	腺生理異常
MP:0002165	obsolete glands: no defect detected	OBSOLETE
MP:0002166	abnormal tumor susceptibility	腫瘍罹患率／抵抗性変化
MP:0002167	obsolete unaffected tumor susceptibility/resistance	OBSOLETE
MP:0002168	obsolete other aberrant phenotype	OBSOLETE
MP:0002169	no abnormal phenotype detected	表現型異常なし
MP:0002174	abnormal gastrulation movements	原腸形成運動異常
MP:0002175	decreased brain weight	脳重量減少
MP:0002176	increased brain weight	脳重量増加
MP:0002177	abnormal outer ear morphology	他の外耳形態異常
MP:0002180	obsolete	OBSOLETE
MP:0002181	obsolete abnormal brain cell morphology	OBSOLETE
MP:0002182	abnormal astrocyte morphology	アストロサイト細胞形態異常
MP:0002183	gliosis	神経膠症
MP:0002184	abnormal innervation	神経支配の異常
MP:0002185	obsolete ectopia	OBSOLETE
MP:0002187	abnormal fibula morphology	腓骨形態異常
MP:0002188	small heart	心臓矮小化
MP:0002189	abnormal myocardial trabeculae morphology	肉柱形態異常
MP:0002190	disorganized myocardium	心筋破壊
MP:0002191	abnormal artery morphology	動脈形態異常
MP:0002192	hydrops fetalis	胎児水腫
MP:0002193	minimal clonic seizures	最小間代発作
MP:0002194	maximal tonic hindlimb extension seizures	最大強直下肢伸展発作
MP:0002195	psychomotor seizures	精神運動発作
MP:0002196	absent corpus callosum	脳梁欠如
MP:0002199	abnormal brain commissure morphology	脳交連形態異常
MP:0002200	abnormal brain ventricular system morphology	脳室／脈絡叢形態異常
